SimpleFieldSearchExample
searching for e
Connecting to 50.19.46.133:8194
Sending Request: fieldSearchRequest = {
    searchSpec = "e"
    returnFieldDocumentation = false
}

FIELD ID     MNEMONIC                            DESCRIPTION                             
EE007        EEPS_NXT_QTR                        Est EPS Next Qtr                        
DV063        EQY_DPS_NET_1YR_GROWTH              Net 1 Year Growth Rate                  
RT022        EQY_TRR_1WK                         Funds - Total Return 1 Week             
DV035        EQY_DVD_YLD_12M_POP                 Funds - 12 Month Dividend Yld - POP     
BE068        BEST_EPS_3MO_PCT_CHG                BEst EPS 3 Month  % Change              
F0213        5_YEAR_AVERAGE_ADJUSTED_ROE         5 Year Average Adjusted Return on Equity
RR506        CASH_EARN_PER_SHARE                 Cash Earn/Share                         
EE002        EEPS_CUR_YR_DT                      Est EPS Curr Year Date                  
IN023        INDX_GENERAL_EST_PE                 General Estimated Price Earnings Ratio  
HT041        EQY_BOLLINGER_UPPER                 Bollinger Upper Band                    
A2732        ARD_LEASE_EQUIP_RENTAL_EXP          ARD Lease/Equipment Rental Expense      
RR210        OPER_INC_PER_AVG_EARN_ASSET         Op Income / Average Earning Assets      
DV096        EQY_DVD_RIGHT_EX_DT_CURR            Current Rights Ex Date                  
EZ031        BEST_EPEG_RATIO                     BEst PEG Ratio                          
F0435        LOW_EV_TO_T12M_EBIT                 Low Periodic EV to Trailing 12 Month EBIT
F0434        HIGH_EV_TO_T12M_EBIT                High Periodic EV to Trailing 12 Month EBIT
F0436        AVERAGE_EV_TO_T12M_EBIT             Average Periodic EV to Trailing 12 Month EBIT
PR586        JSF_EQUITY_LENDING_NET_CHG          Equity Lending Net Change From Nisshokin (TSE)
BE066        BEST_EPS_4WK_PCT_CHG                BEst EPS 4 Week  % Change               
RR155        EBITDA_LES_CAP_EXPEND_TO_INT_EXP    EBITDA Less CapEx to Total Interest Expense
BS430        TOTAL_PRODUCTION_WORLD_MBOE_DY      Energy-MBOE/D-Worldwide                 
DV077        EQY_DVD_CASH_NET_NEXT               Next Dividend Per Share (Net)           
A2917        ARD_EQUIPMENT_REV                   ARD Equipment Revenue                   
IN016        INDX_POS_ERN                        Positive Earnings                       
RR819        TRAIL_12M_EPS_BEF_XO_ITEM           Trailing 12M EPS before XO Items        
HT043        EQY_BOLLINGER_LOWER                 Bollinger Lower Band                    
A0069        ARD_PROPERTY_PLANT_EQUIP_NET        ARD Property Plant & Equipment - Net    
DS282        EQY_WRT_AVAIL                       Warrants Available Indicator            
IS062        IS_SH_FOR_DILUTED_EPS               Diluted Weighted Average Shares         
RT019        EQY_TRR_PREV_YR                     Funds - Total Return Prev Year          
F0428        HIGH_EV_TO_T12M_EBITDA              High Periodic EV to Trailing 12 Month EBITDA
F0429        LOW_EV_TO_T12M_EBITDA               Low Periodic EV to Trailing 12 Month EBITDA
RX563        OPER_ROE                            Operating Return on Equity              
RT023        EQY_TRR_1DAY                        Funds - Total Return 1 Day              
IN011        INDX_ADJ_POSITIVE_PE                Adjusted Positive Price/Earnings        
RR118        MTG_DEBT_PER_RE_INVEST              Mortgage Debt/RE Investments            
FL111        FXD_EQV                             Fixed Equivalent                        
F0430        AVG_EV_TO_T12M_EBITDA               Average Periodic Enterprise Value to T12M EBITDA
RT008        EQY_TRR_NET_YTD                     Total Return Year To Date Net           
DS550        EQY_PRIM_SECURITY_PRIM_EXCH         Primary Security Primary Exchange Code  
RR604        GEO_GROW_EPS_AFTER_XO_ITEM          EPS after XO - 5 Yr Geometric Growth    
RR179        TANGIBLE_COMMON_EQUITY              Tangible Common Equity                  
EZ033        BEST_PEG_RATIO_NXT_YR               BEst Est PEG Ratio Next Year            
